141148,195.57,-87.67,0.00,-25.00
141168,195.57,-87.84,0.00,-25.00
141188,195.57,-88.02,0.00,-25.00
141208,195.57,-88.20,0.00,-25.00
141228,195.57,-88.39,0.00,-25.00
141248,195.57,-88.58,0.00,-25.00
141268,195.57,-88.78,0.00,-25.00
141288,195.57,-88.98,0.00,-25.00
141308,195.57,-89.18,0.00,-25.00
141329,195.57,-89.39,0.00,-25.00
141349,195.57,-89.60,0.00,-25.00
141369,195.57,-89.81,0.00,-25.00
141389,195.57,-90.02,0.00,-25.00
141409,195.57,-90.24,0.00,-25.00
141429,195.57,-90.46,0.00,-25.00
141449,195.57,-90.69,0.00,-25.00
141469,195.57,-90.91,0.00,-25.00
141489,195.57,-91.14,0.00,-25.00
141509,195.57,-91.37,0.00,-25.00
141530,195.57,-91.61,0.00,-25.00
141551,195.57,-91.85,0.00,-25.00
141571,195.57,-92.09,0.00,-25.00
141591,195.57,-92.34,0.00,-25.00
141611,195.57,-92.59,0.00,-25.00
141631,195.57,-92.84,0.00,-25.00
141651,195.57,-93.09,0.00,-25.00
141671,195.57,-93.35,0.00,-25.00
141691,195.57,-93.60,0.00,-25.00
141711,195.57,-93.85,0.00,-25.00
141732,195.57,-94.11,0.00,-25.00
141752,195.57,-94.36,0.00,-25.00
141772,195.57,-94.62,0.00,-25.00
141792,195.57,-94.87,0.00,-25.00
141812,195.57,-95.12,0.00,-25.00
141832,195.57,-95.37,0.00,-25.00
141852,195.57,-95.62,0.00,-25.00
141872,195.57,-95.87,0.00,-25.00
141892,195.57,-96.12,0.00,-25.00
141912,195.57,-96.38,0.00,-25.00
141933,195.57,-96.63,0.00,-25.00
141953,195.57,-96.87,0.00,-25.00
141973,195.57,-97.12,0.00,-25.00
141993,195.57,-97.36,0.00,-25.00
142013,195.57,-97.60,0.00,-25.00
142033,195.57,-97.83,0.00,-25.00
142053,195.57,-98.07,0.00,-25.00
142073,195.57,-98.30,0.00,-25.00
142093,195.57,-98.52,0.00,-25.00
142113,195.57,-98.75,0.00,-25.00
142134,195.57,-98.97,0.00,-25.00
142154,195.57,-99.20,0.00,-25.00
142174,195.57,-99.43,0.00,-25.00
142194,195.57,-99.66,0.00,-25.00
142214,195.57,-99.89,0.00,25.00
142234,195.57,-100.14,0.00,25.00
142254,195.57,-100.38,0.00,25.00
142274,195.57,-100.64,0.00,25.00
142294,195.57,-100.90,0.00,25.00
142314,195.57,-101.14,0.00,25.00
142335,195.57,-101.36,0.00,25.00
142355,195.57,-101.56,0.00,25.00
142375,195.57,-101.73,0.00,25.00
142395,195.57,-101.88,0.00,25.00
142415,195.57,-101.99,0.00,25.00
142435,195.57,-102.07,0.00,25.00
142455,195.57,-102.13,0.00,25.00
142475,195.57,-102.15,0.00,25.00
142495,195.57,-102.15,0.00,25.00
142515,195.57,-102.13,0.00,25.00
142536,195.57,-102.08,0.00,25.00
142556,195.57,-102.01,0.00,25.00
142576,195.57,-101.93,0.00,25.00
142596,195.57,-101.83,0.00,25.00
142616,195.57,-101.72,0.00,25.00
142636,195.57,-101.60,0.00,25.00
142656,195.57,-101.47,0.00,25.00
142676,195.57,-101.33,0.00,25.00
142696,195.57,-101.19,0.00,25.00
142716,195.57,-101.03,0.00,25.00
142737,195.57,-100.87,0.00,25.00
142757,195.57,-100.69,0.00,25.00
142777,195.57,-100.51,0.00,25.00
142797,195.57,-100.31,0.00,25.00
142817,195.57,-100.10,0.00,25.00
142837,195.57,-99.88,0.00,25.00
142857,195.57,-99.65,0.00,25.00
142877,195.57,-99.42,0.00,25.00
142897,195.57,-99.17,0.00,25.00
142917,195.57,-98.92,0.00,25.00
142939,195.57,-98.66,0.00,25.00
142959,195.57,-98.41,0.00,25.00
142979,195.57,-98.15,0.00,25.00
142999,195.57,-97.90,0.00,25.00
143019,195.57,-97.64,0.00,25.00
143039,195.57,-97.37,0.00,25.00
143059,195.57,-97.11,0.00,25.00
143079,195.57,-96.84,0.00,25.00
143099,195.57,-96.58,0.00,25.00
143119,195.57,-96.31,0.00,25.00
143142,195.57,-95.80,0.00,25.00
143162,195.57,-95.55,0.00,25.00
143182,195.57,-95.30,0.00,25.00
143202,195.57,-95.06,0.00,25.00
143222,195.57,-94.81,0.00,25.00
143242,195.57,-94.57,0.00,25.00
143262,195.57,-94.33,0.00,25.00
143282,195.57,-94.09,0.00,25.00
143302,195.57,-93.84,0.00,25.00
143322,195.57,-93.59,0.00,25.00
143344,195.57,-93.34,0.00,25.00
143364,195.57,-93.09,0.00,25.00
143384,195.57,-92.84,0.00,25.00
143404,195.57,-92.59,0.00,25.00
143424,195.57,-92.34,0.00,25.00
143444,195.57,-92.10,0.00,25.00
143464,195.57,-91.85,0.00,25.00
143484,195.57,-91.61,0.00,25.00
143504,195.57,-91.37,0.00,25.00
143524,195.57,-91.14,0.00,25.00
143546,195.57,-90.89,0.00,25.00
143566,195.57,-90.65,0.00,25.00
143586,195.57,-90.39,0.00,25.00
143606,195.57,-90.14,0.00,25.00
143626,195.57,-89.88,0.00,25.00
143646,195.57,-89.62,0.00,25.00
143666,195.57,-89.36,0.00,25.00
143686,195.57,-89.10,0.00,25.00
143706,195.57,-88.84,0.00,25.00
143726,195.57,-88.58,0.00,-25.00
143748,195.57,-88.32,0.00,-25.00
143768,195.57,-88.06,0.00,-25.00
143788,195.57,-87.80,0.00,-25.00
143808,195.57,-87.55,0.00,-25.00
143828,195.57,-87.33,0.00,-25.00
143848,195.57,-87.13,0.00,-25.00
143868,195.57,-86.96,0.00,-25.00
143888,195.57,-86.83,0.00,-25.00
143908,195.57,-86.73,0.00,-25.00
143928,195.57,-86.66,0.00,-25.00
143949,195.57,-86.62,0.00,-25.00
143969,195.57,-86.62,0.00,-25.00
143989,195.57,-86.65,0.00,-25.00
